Date,SP500
730765,1408.99
730768,1402.03
730769,1387.02
730770,1364.59
730771,1329.78
730772,1374.17
730775,1374.62
730776,1349.97
730777,1342.13
730778,1388.76
730779,1396.93
730782,1395.78
730783,1398.13
730784,1364.9
730785,1364.44
730786,1379.58
730789,1398.66
730790,1429.4
730791,1421.22
730792,1428.32
730793,1426.69
730796,1432.19
730797,1431.87
730798,1409.28
730799,1400.14
730800,1365.98
730803,1351.26
730804,1382.95
730805,1389.81
730806,1372.32
730807,1367.72
730810,1342.62
730811,1347.35
730812,1322.36
730813,1332.065
730814,1341.77
730817,1348.97
730818,1336.09
730819,1341.93
730820,1314.95
730821,1315.23
730824,1324.97
730825,1376.54
730826,1351.46
730827,1343.55
730828,1369.89
730831,1380.2
730832,1371.18
730833,1359.99
730834,1340.93
730835,1312.15
730838,1322.74
730839,1305.6
730840,1264.74
730841,1274.86
730842,1305.95
730845,1310.57
730846,1315.19
730847,1328.92
730848,1334.22
730849,1320.28
730852,1301.775
730853,1283.27
730854,1347.56
730855,1333.34
730856,1298.35
730859,1295.86
730860,1300.8
730861,1313.27
730862,1326.82
730863,1318.55
730866,1322.6
730867,1326.65
730868,1329.47
730869,1347.97
730870,1342.54
730873,1342.9
730874,1360.4
730875,1364.3
730876,1357.51
730877,1354.95
730880,1364.17
730881,1373.73
730882,1366.01
730883,1373.47
730884,1349.47
730887,1354.31
730888,1352.26
730889,1340.89
730890,1332.53
730891,1314.76
730894,1330.31
730895,1318.8
730896,1315.92
730897,1326.61
730898,1301.53
730901,1290.235
730902,1278.94
730903,1255.27
730904,1252.82
730905,1245.86
730908,1267.65
730909,1257.94
730910,1239.94
730911,1241.23
730912,1234.18
730915,1241.41
730916,1253.8
730917,1261.89
730918,1264.74
730919,1233.42
730922,1180.16
730923,1197.66
730924,1166.71
730925,1173.56
730926,1150.53
730929,1170.81
730930,1142.62
730931,1122.14
730932,1117.58
730933,1139.83
730936,1152.69
730937,1182.17
730938,1153.29
730939,1147.95
730940,1160.33
730943,1145.87
730944,1106.46
730945,1103.25
730946,1151.44
730947,1128.43
730950,1137.59
730951,1168.38
730952,1165.89
730953,1183.5
730954,1181.59
730957,1179.68
730958,1191.81
730959,1238.16
730960,1253.69
730961,1242.98
730964,1224.36
730965,1209.47
730966,1228.75
730967,1234.52
730968,1253.05
730971,1249.46
730972,1266.44
730973,1267.43
730974,1248.58
730975,1266.61
730978,1263.51
730979,1261.2
730980,1255.54
730981,1255.18
730982,1245.67
730985,1248.92
730986,1249.44
730987,1284.99
730988,1288.49
730989,1291.96
730992,1312.83
730993,1309.38
730994,1289.05
730995,1293.17
730996,1277.89
730999,1272.91
731000,1267.93
731001,1248.08
731002,1255.82
731003,1260.67
731006,1267.11
731007,1283.57
731008,1270.03
731009,1276.96
731010,1264.96
731013,1254.39
731014,1255.85
731015,1241.6
731016,1219.87
731017,1214.36
731020,1208.43
731021,1212.58
731022,1223.14
731023,1237.04
731024,1225.35
731027,1218.6
731028,1216.76
731029,1211.07
731030,1226.2
731031,1224.38
731034,1236.72
731035,1234.45
731036,1226.845
731037,1219.24
731038,1190.59
731041,1198.78
731042,1181.52
731043,1180.18
731044,1208.14
731045,1215.68
731048,1202.45
731049,1214.44
731050,1207.71
731051,1215.02
731052,1210.85
731055,1191.03
731056,1171.65
731057,1190.49
731058,1202.93
731059,1205.82
731062,1204.52
731063,1211.23
731064,1215.93
731065,1220.75
731066,1214.35
731069,1200.48
731070,1204.4
731071,1183.53
731072,1183.43
731073,1190.16
731076,1191.29
731077,1186.73
731078,1178.02
731079,1181.66
731080,1161.97
731083,1171.41
731084,1157.26
731085,1165.31
731086,1162.09
731087,1184.93
731090,1179.21
731091,1161.51
731092,1148.56
731093,1129.03
731094,1133.58
731097,1133.26
731098,1132.94
731099,1131.74
731100,1106.4
731101,1085.78
731104,1092.54
731105,1081.786
731106,1071.032
731107,1060.278
731108,1049.524
731111,1038.77
731112,1032.74
731113,1016.1
731114,984.54
731115,965.8
731118,1003.45
731119,1012.27
731120,1007.04
731121,1018.61
731122,1040.94
731125,1038.55
731126,1051.33
731127,1072.28
731128,1069.63
731129,1071.38
731132,1062.44
731133,1056.75
731134,1080.99
731135,1097.43
731136,1091.65
731139,1089.98
731140,1097.54
731141,1077.09
731142,1068.61
731143,1073.48
731146,1089.9
731147,1084.78
731148,1085.2
731149,1100.09
731150,1104.61
731153,1078.3
731154,1059.79
731155,1059.78
731156,1084.1
731157,1087.2
731160,1102.84
731161,1118.86
731162,1115.8
731163,1118.54
731164,1120.31
731167,1118.33
731168,1139.09
731169,1141.21
731170,1142.24
731171,1138.65
731174,1151.06
731175,1142.66
731176,1137.03
731177,1143.685
731178,1150.34
731181,1157.42
731182,1149.5
731183,1128.52
731184,1140.2
731185,1139.45
731188,1129.9
731189,1144.8
731190,1170.35
731191,1167.1
731192,1158.31
731195,1139.93
731196,1136.76
731197,1137.07
731198,1119.38
731199,1123.09
731202,1134.36
731203,1142.92
731204,1149.56
731205,1139.93
731206,1144.89
731209,1144.65
731210,1147.01
731211,1149.37
731212,1157.13
731213,1161.02
731216,1148.08
731217,1151.375
731218,1154.67
731219,1165.27
731220,1172.51
731223,1164.89
731224,1160.71
731225,1155.14
731226,1156.55
731227,1145.6
731230,1138.41
731231,1146.19
731232,1127.57
731233,1138.88
731234,1127.58
731237,1123.445
731238,1119.31
731239,1128.18
731240,1132.15
731241,1133.28
731244,1133.06
731245,1100.64
731246,1113.57
731247,1130.2
731248,1122.2
731251,1094.44
731252,1090.02
731253,1083.51
731254,1080.17
731255,1096.22
731258,1111.94
731259,1107.5
731260,1118.51
731261,1116.48
731262,1104.18
731265,1093.76
731266,1083.34
